AT1G01010	3.32961		3.485719		4.215285
AT1G01020	11.543994		9.605102		13.971997
AT1G01030	1.60417		1.626678		2.029853
AT1G01040	5.22422		5.400708		5.792898
AT1G01050	96.3254		100.152181		114.341998
AT1G01060	0.398354		0.403549		0.487462
AT1G01070	3.001789		2.936965		3.62413
AT1G01080	49.0049		50.172408		60.44028
AT1G01090	119.891		124.804128		150.6869
AT1G01100	404.96081		446.55571		543.36619
AT1G01110	1.901		1.941177		2.404812
AT1G01120	13.2036		13.674675		16.410602
AT1G01130	11.2283		3.869793		17.216267
AT1G01140	27.6513		28.890218		34.465547
AT1G01150	0.082922		0.086853		0.105167
AT1G01160	53.58469		53.437998		45.895519
AT1G01170	243.1753		250.9605		108.153016
AT1G01180	20.9293		20.705463		25.999517
AT1G01190	1.10477		0.79135		1.472334
AT1G01200	0.507836		0.531925		0.644146
AT1G01210	14.4621		14.563997		14.804947
AT1G01220	4.182618		4.3884		5.231529
AT1G01225	2.71843		2.84806		3.57435
AT1G01230	44.8598		46.892977		56.106357
AT1G01240	25.537452		26.56875		31.809779
AT1G01250	1.10662		1.031077		1.40744
AT1G01260	4.98833		5.225079		6.076722
AT1G01280	0		0		0
AT1G01290	8.92769		9.365993		11.335233
AT1G01300	35.1283		34.508256		43.681607
AT1G01305	0		0		0
AT1G01310	0		0		0
AT1G01320	36.04165		37.436477		44.933225
AT1G01335	0		0		0
AT1G01340	6.81012		7.05697		8.384666
AT1G01350	13.209		13.759021		16.648698
AT1G01355	0.151896		0.159311		0.19359
AT1G01360	12.6212		13.129354		15.459505
AT1G01370	4.052857		4.234404		5.256511
AT1G01380	0.770385		0.808027		0.982001
AT1G01390	1.34435		1.407284		1.701518
AT1G01400	0		0		0
AT1G01410	0		0		0
AT1G01420	3.3631		3.523059		4.260788
AT1G01430	30.2879		31.32972		37.80588
AT1G01440	6.24876		6.470496		7.938347
AT1G01450	7.31614		0		0
AT1G01453	1.25237		1.311496		1.5873
AT1G01460	0		0		0
AT1G01470	76.1642		79.216414		95.690164
AT1G01480	1.39143		1.475745		1.784336
AT1G01490	94.12945		97.570984		118.030229
AT1G01500	8.69098		9.097922		11.00041
AT1G01510	10.3591		10.766695		12.961127
AT1G01520	0.074242		0.077748		0.094101
AT1G01530	0		0		0
AT1G01540	37.52456		38.739462		46.816887
AT1G01550	104.769		108.918183		130.016741
AT1G01560	3.685485		3.885128		4.62207
AT1G01570	1.724753		1.823683		2.206183
AT1G01580	0.290706		0.304189		0.367389
