AT1G01010	2.55285	2.384445	2.819201
AT1G01020	39.69548	36.58312	44.485217
AT1G01030	0.244405	0.227587	0.269928
AT1G01040	13.016104	11.820325	13.591551
AT1G01050	85.79982	81.592994	94.332809
AT1G01060	1.61248	1.484787	1.749155
AT1G01070	14.87659	13.83148	16.588666
AT1G01080	60.403424	55.814066	67.393412
AT1G01090	150.727	139.947458	167.383884
AT1G01100	550.04709	550.212413	591.092382
AT1G01110	4.51731	4.191976	5.029444
AT1G01120	126.622	117.255177	141.011339
AT1G01130	21.0165	25.798612	27.198599
AT1G01140	68.7916	63.141067	76.253018
AT1G01150	0	0	0
AT1G01160	45.39595	42.787895	41.667665
AT1G01170	214.0317	228.777353	126.052439
AT1G01180	9.86954	9.276388	11.131769
AT1G01190	33.7611	31.171738	38.041492
AT1G01200	3.97126	3.770153	4.456718
AT1G01210	19.96685	19.703072	22.641591
AT1G01220	14.578829	13.224758	15.479999
AT1G01225	2.81212	2.689953	3.187388
AT1G01230	72.4819	69.221495	80.498705
AT1G01240	21.52001	19.900731	23.944347
AT1G01250	8.29668	8.063743	9.258892
AT1G01260	9.23987	7.956591	9.627627
AT1G01280	0	0	0
AT1G01290	16.89681	15.921526	18.624532
AT1G01300	96.0578	88.651626	106.969701
AT1G01305	0	0	0
AT1G01310	0	0	0
AT1G01320	34.65705	31.444366	38.644277
AT1G01335	0	0	1.785534
AT1G01340	1.64464	1.517346	13.238289
AT1G01350	16.4414	15.602066	0
AT1G01355	0	0	29.458175
AT1G01360	25.939	24.013984	4.654692
AT1G01370	4.187521	4.055993	104.575044
AT1G01380	94.6163	91.373089	0.231589
AT1G01390	0.209697	0.195444	0
AT1G01400	0	0	0
AT1G01410	0	0	32.796137
AT1G01420	31.65635	27.028115	107.328234
AT1G01430	96.4435	89.193422	10.832681
AT1G01440	9.62789	8.839434	0
AT1G01450	12.3623	11.067105	0
AT1G01453	0	0	0
AT1G01460	0	0	327.654895
AT1G01470	287.898	268.995795	0.623301
AT1G01480	0.520981	0.486111	43.686127
AT1G01490	39.23852	36.593038	11.556813
AT1G01500	10.5068	9.795801	19.876414
AT1G01510	17.8826	16.309596	2.400829
AT1G01520	2.44624	2.250347	0
AT1G01530	0	0	35.213432
AT1G01540	32.122	29.264125	156.000503
AT1G01550	139.4702	130.126585	0.896828
AT1G01560	0.812148	0.760286	0.832824
AT1G01570	0.754283	0.70939	0.120928
AT1G01580	0.109464	0.100917	0
AT1G01590	0	0	1.594958
AT1G01600	1.41353	1.306113	51.556095
